Date Posted,Link,Text,Region,Username,Publisher,Label
2/11/20,https://twitter.com/the_hindu/status/1227259621644984320,Just in: Novel coronavirus named 'Covid-19': UN health agency. (AFP),India,the_hindu,The Hindu,1
2/12/20,https://twitter.com/ndtv/status/1227490843474268160,"WHO officially names #coronavirus as Covid-19.
 https://www.ndtv.com/health/who-officially-names-coronavirus-as-covid-19-here-are-some-details-to-note-2178918 
#CoronavirusOutbreak pic.twitter.com/YOGoY99ZXI",India,ndtv,NDTV,1
2/12/20,https://twitter.com/the_hindu/status/1227444718243602432,"The #UN #health agency announced that ""COVID-19"" will be the official name of the deadly #virus from #China
#coronavirus http://bit.ly/2Hihnbj ",India,the_hindu,The Hindu,1
2/14/20,https://twitter.com/IndiaToday/status/1228276449536172034,"The Indian Embassy in Tokyo has said that one more Indian crew member on Diamond Princess has tested positive for Covid-19.

 https://www.indiatoday.in/india/story/third-indian-aboard-japanese-ship-tests-positive-for-coronavirus-1646514-2020-02-14 ",India,indiatoday,IndiaToday,1
2/15/20,https://twitter.com/the_hindu/status/1228542473984790529,"Ground Zero | How Kerala used its experience in controlling the 2018 Nipah virus outbreak to prepare for a potential COVID-19 spread 

#coronavirus #Kerala #China https://trib.al/zpJxXjH ",India,the_hindu,The Hindu,1
2/15/20,https://twitter.com/the_hindu/status/1228657741784375300,"An elderly Chinese tourist hospitalised in France has died of the #coronavirus (COVID-19), becoming the first fatality in Europe, French Health Minister Agnes Buzyn said.
 https://trib.al/maHJZC0 ",India,the_hindu,The Hindu,1
2/16/20,https://twitter.com/IndiaToday/status/1229029304157138945,"The total number of people infected with COVID-19 on the ship rose to 355 on Sunday.
 https://www.indiatoday.in/india/story/two-more-indians-on-board-cruise-ship-off-japanese-coast-test-positive-for-coronavirus-1647052-2020-02-16 ",India,indiatoday,IndiaToday,1
2/16/20,https://twitter.com/IndiaToday/status/1229078485714386950,"COVID-19 coronavirus Updates: Africa has its first confirmed case, a person in Egypt tested positive. #DIU pic.twitter.com/UuMB8nCMI2",India,indiatoday,IndiaToday,1
2/17/20,https://twitter.com/IndiaToday/status/1229254123226193920,"Covid-19 Updates: #Kerala defeats #Coronavirus, all three cases have recovered.
#DIU pic.twitter.com/gvSbUuKkRR",India,indiatoday,IndiaToday,1
2/18/20,https://twitter.com/the_hindu/status/1229694542414217217,"#Coronavirus | #LiuZhiming, the head of a leading hospital in China's central city of #Wuhan, is the second prominent Chinese doctor to have succumbed to COVID-19.
 http://bit.ly/37BxSdp ",India,the_hindu,The Hindu,1
2/19/20,https://twitter.com/IndiaToday/status/1230174768365617152,"Serum Institute of India recently announced that vaccine candidate COVID-19 is expected to progress to human trials phase within 6 months
(@Pkhelkar ) https://www.indiatoday.in/india/story/indian-company-serum-institute-india-pune-1st-develop-novel-coronavirus-vaccine-1648128-2020-02-19 ",India,indiatoday,IndiaToday,1
2/19/20,https://twitter.com/the_hindu/status/1230067023771774976,"Two Chinese crew members of a ship, which arrived from the COVID-19-hit China have been kept in isolation due to fever  https://trib.al/rBChlW9 ",India,the_hindu,The Hindu,1
2/20/20,https://twitter.com/IndiaToday/status/1230438167934685184,"So far 621 cases of the virus, which has been named COVID-19, have been confirmed among the the Diamond Princess's original 3,711 people on board.
 https://www.indiatoday.in/world/story/2-more-russians-aboard-cruise-ship-diagnosed-with-virus-1648324-2020-02-20 ",India,indiatoday,IndiaToday,1
2/20/20,https://twitter.com/the_hindu/status/1230484794095669248,#COVID-19 | So far #SouthKorea has reported a total of 82 cases of the virus. https://trib.al/VdqmdGK ,India,the_hindu,The Hindu,1
2/20/20,https://twitter.com/the_hindu/status/1230609333676802049,There has also been a drop in airfares to countries like Thailand in wake of the spread of COVID-19 #Coronavirus https://trib.al/jBlDnH2 ,India,the_hindu,The Hindu,1
2/23/20,https://twitter.com/the_hindu/status/1231707841481801728,"#COVID19 | The final results of the parliamentary election are due on Sunday, two days after it was held on the heels of the confirmation of COVID-19 cases in the country. #IranElection https://trib.al/A7Fn9rc ",India,the_hindu,The Hindu,1
2/23/20,https://twitter.com/the_hindu/status/1231446083735150592,"The recent COVID-19 scare brought to the fore the importance of coordination among States. From smuggling of goods to dumping of medical waste, the issues are many, and need careful handling, by several State governments acting in concert.
 http://bit.ly/2PiE4k7 ",India,the_hindu,The Hindu,1
2/24/20,https://twitter.com/the_hindu/status/1231924246819069952,"#Racism | The attack was over COVID-19 outbreak. A spokeswoman of Birmingham Chinese Society said: ""There has always been abuse. The virus has given some individuals a reason for that abuse. #COVID19 https://trib.al/CANj6oZ ",India,the_hindu,The Hindu,1
2/25/20,https://twitter.com/IndiaToday/status/1232194571682996225,"The World Health Organization has named the illness COVID-19, referring to its origin late last year and the #coronavirus that causes it. https://www.indiatoday.in/world/story/epidemic-vs-pandemic-glossary-of-terms-for-virus-outbreak-1649745-2020-02-25 ",India,indiatoday,IndiaToday,1
2/26/20,https://twitter.com/BBCNews/status/1232569132773707777,Could North Korea handle a Covid-19 outbreak?  https://bbc.in/2Tiren1 ,Europe,bbcnews,BBC News (UK),1
2/27/20,https://twitter.com/the_hindu/status/1232880535803813890,Coronavirus | India on Wednesday sent a heavy lift military transport aircraft to the COVID-19-hit #Wuhan in #China. http://bit.ly/382fqL6 ,India,the_hindu,The Hindu,1
2/28/20,https://twitter.com/CDCgov/status/1233486735578976257,CDC does not currently recommend the general public use facemasks or respirators for #COVID19. This 2017 @NIOSH graphic is intended for workers who wear tight-fitting respirators. Learn about COVID-19 and #PPE:  https://go.usa.gov/xddKA  https://twitter.com/NIOSH/status/1233465410017730560 ,United States,cdcgov,CDC,1
2/28/20,https://twitter.com/IndiaToday/status/1233405975547260928,"Her statement comes at a time when the fast-spreading Covid-19 virus has disrupted global markets.
#coronavirus https://www.indiatoday.in/business/story/no-need-to-press-panic-button-because-of-coronovirus-epidemic-fm-nirmala-sitharaman-1650973-2020-02-28 ",India,indiatoday,IndiaToday,1
2/28/20,https://twitter.com/the_hindu/status/1233474491617030146,"""We have now increased our assessment of the risk of spread and the risk of impact of COVID-19 to very high at global level, says WHO chief Tedros Adhanom Ghebreyesus 
 https://trib.al/B5O9Zxq ",India,the_hindu,The Hindu,1
2/28/20,https://twitter.com/the_hindu/status/1233373811233476608,"This is not the first time that letters about COVID-19 or SARS-CoV-2 virus published in peer-reviewed journals has had a problem
 https://trib.al/ARCqTiG ",India,the_hindu,The Hindu,1
